set,pokemon,nr,lang,note1,note2,online_price
CEC,Solgaleo,142,de,Promo,Stamp,1.93
SVP,Xatu,59,de,,,
PAL,Flaniwal,53,de,Promo,Adventskalender,0.03
PAR,Schneppke,37,de,Promo,Adventskalender,0.07
PAL,Frospino,58,de,Promo,Adventskalender,0.07
TWM,Eisenbündel,62,de,Promo,Adventskalender,0.02
PAR,Gelatwino,45,de,Promo,Adventskalender,0.04
BLK,Victini,12,de,Promo,,0.05
SVP,Krokel,192,de,,,
PRE,Evoli,74,de,Promo,Pokemon Day ,0.03
SVP,Felori,191,de,,,
SVP,Pii,95,de,,,
TWM,Sirapfel,18,de,Promo,,0.04
SVP,Zebritz,201,de,,,
SVP,Infamomo,149,de,,,
TWM,Maske des Oni,159,de,Promo,,0.03
TWM,Türkisgrüne-Maske-Ogerpon,24,de,Promo,,0.07
BLK,Serpifeu,1,de,Promo,,0.03
WHT,Floink,11,de,Promo,,0.03
WHT,Ottaro,21,de,Promo,,0.03
PAR,Gramokles,131,de,Promo,,0.03
PAR,Duokles,132,de,Promo,,0.04
PAR,Durengard Ex,135,de,Promo,,0.68
SVI,Pepper,249,de,,,
PAR,Prof. Antiquas Vitalität,256,de,,,
MEW,Erikas Einladung,203,de,,,21.31
PAL,Saguaro,270,de,,,
OBF,Poppy,227,de,,,2.68
CEC,Maho & Tracy,231,de,,,87.23
MEW,Erikas Einladung,196,de,,,9.88
PRE,Shugi,133,de,,,0.73
SCR,Kombu,165,de,,,1.09
TEF,Jens' Überzeugung,201,de,,,2.29
LOR,Susuki,192,de,,,1.23
SCR,Matt,164,de,,,5.16
PAF,Nemelia,229,de,,,0.74
SHF,Ballduin,65,de,,,5.4
DRI,Richter,222,de,,,3.29
SUM,Elima,146,de,,,3.72
SUM,Prof. Kukui,148,de,,,4.11
GRI,Tali,144,de,,,12.0
SFA,Janinas Geheimkunst,88,de,,,3.14
SVI,Cosima,239,de,,,3.7
PRE,Rioba,136,de,,,0.94
OBF,Geeta,218,de,,,1.36
SSP,Citros Scharfsinn,229,de,,,1.45
SFA,Achromas' Beharrlichkeit,87,de,,,3.09
TEF,Bell's Hingabe,197,en,,,2.54
PAR,Norman,237,de,,,1.52
VIV,Delion,182,de,,,7.45
SVI,Forschung des Professors - Professor Futurus,241,it,,,2.28
SFA,Xeros' Machinationen,89,de,,,1.69
DRI,Team Rockets Lambda,226,de,,,5.28
BKT,Giovannis Intrige,162,de,,,22.86
FCO,Team Rockets Machenschaften,124,de,,,24.18
MEW,Giovannis Charisma,197,de,,,7.88
LOR,Stadionruine,215,de,,,2.52
OBF,Bolardin,229,de,,,2.85
ASR,Jubeldorf,212,de,,,4.99
TEU,Richerpfeife,194,de,,,6.37
SVI,Sonderbonbon,256,de,MC,,
JTG,Rockos Erkundung,179,de,,,3.78
SFA,Snobilikat,78,de,,,43.65
SCR,Tortunator,146,de,,,2.43
SVI,Hefel,213,de,,,6.65
JTG,Wiesenior,168,de,,,4.84
SSP,Flunschlik,202,de,,,1.68
JTG,Arktos,161,de,,,25.31
WHT,Kleoparda,137,de,,,21.15
